CMOSIS CMV4000 E12,
0.400974554,0.366800431
0.402807422,0.383008097
0.405672441,0.390156196
0.410215175,0.383689995
0.41290687,0.40542327
0.415385307,0.421826516
0.420077961,0.41604656
0.423926265,0.434799223
0.426193463,0.450867457
0.429313982,0.463893164
0.433101822,0.477432676
0.435777227,0.489723535
0.4381905,0.503068203
0.441444044,0.505706874
0.444004755,0.491470281
0.44733239,0.479065855
0.451063515,0.480399424
0.453098651,0.496095537
0.455540909,0.510963108
0.459783212,0.520220369
0.461372423,0.53382882
0.462269481,0.546706989
0.46355593,0.56008821
0.465729048,0.568990892
0.468391816,0.560168694
0.470607975,0.548116301
0.475128845,0.553761207
0.477045525,0.56816448
0.478355684,0.584012383
0.481418434,0.593386399
0.485357944,0.581728554
0.487594914,0.568726703
0.490937891,0.566078068
0.492972277,0.580522293
0.495056119,0.595046344
0.49621228,0.607439718
0.497665937,0.621579891
0.500054575,0.632359084
0.503004659,0.625967135
0.503663646,0.612558666
0.506326774,0.604339475
0.510779202,0.61382908
0.515263085,0.618724492
0.51744352,0.60413584
0.518970558,0.588913394
0.522145373,0.573161101
0.526723414,0.574313569
0.528606129,0.587691205
0.532556738,0.594574646
0.536603113,0.601053771
0.538794724,0.61552539
0.542205092,0.6175218
0.544790955,0.604034789
0.547451303,0.591169869
0.551139959,0.58758831
0.554314459,0.599363366
0.556779373,0.615570578
0.559394309,0.628431516
0.562620566,0.622178862
0.564359493,0.608796945
0.567376239,0.597033053
0.572133143,0.595167932
0.577031161,0.60618931
0.581113656,0.616730789
0.583405028,0.631279137
0.587463021,0.638032291
0.590681733,0.629378546
0.591393869,0.616325576
0.59259203,0.601601263
0.593632348,0.583672231
0.595486466,0.567095865
0.598994817,0.560195428
0.602248414,0.576054664
0.603794107,0.59537638
0.60510345,0.609860761
0.606390145,0.623652064
0.608176804,0.63695012
0.611090051,0.641376049
0.61306204,0.62661668
0.614610745,0.613824937
0.616159303,0.600787145
0.61748567,0.587995001
0.620042539,0.57369093
0.625037651,0.5754825
0.629714135,0.587844817
0.63424166,0.59898122
0.636621781,0.613218749
0.638631591,0.627876627
0.640689804,0.64085531
0.644817942,0.64828207
0.647701819,0.63423375
0.649421108,0.61752376
0.650925032,0.601207723
0.652317797,0.586782002
0.653643728,0.573260824
0.65652605,0.559790295
0.660651925,0.560260215
0.662785953,0.576084087
0.664821127,0.591843991
0.666656987,0.604796756
0.669909626,0.614498765
0.672932669,0.606179566
0.673963053,0.594166043
0.675733899,0.581046636
0.677060291,0.5682955
0.678089943,0.555060845
0.679490411,0.54224947
0.681292682,0.528566257
0.683203784,0.513925245
0.685915197,0.503828052
0.690807655,0.505559215
0.695695927,0.500296621
0.700372268,0.512418854
0.704643196,0.522598808
0.706833898,0.535552938
0.708843089,0.549177411
0.711256904,0.563425004
0.714280109,0.574920761
0.717377508,0.5683682
0.718407499,0.555698546
0.720177805,0.541676959
0.721947743,0.527040249
0.723718025,0.512977654
0.725710712,0.499030282
0.728489943,0.484766358
0.733720097,0.479211302
0.737045995,0.492477119
0.738389851,0.508903297
0.740217243,0.522715147
0.7428533,0.536805985
0.747303586,0.542717523
0.751522982,0.534341765
0.754405615,0.521389534
0.756399074,0.508730731
0.758391564,0.494453243
0.760359627,0.480638193
0.762179718,0.467245486
0.765038703,0.456058323
0.769930412,0.456536873
0.774822214,0.457172
0.77970833,0.448308143
0.784595696,0.441531975
0.789488373,0.443628484
0.794384673,0.45177929
0.799278912,0.45648541
0.80349736,0.446524313
0.805268371,0.433681711
0.806498844,0.419874443
0.807697604,0.406152552
0.809022313,0.390590078
0.810969999,0.37574956
0.81369493,0.36272209
0.816153421,0.350304789
0.819144297,0.338092867
0.824107964,0.334974637
0.829000891,0.337488684
0.833895067,0.342090419
0.838793961,0.354573179
0.843688231,0.359331491
0.848352956,0.352048658
0.85139582,0.3366418
0.853449049,0.322534046
0.855220276,0.310050265
0.85721323,0.296547833
0.859820911,0.281413596
0.864089185,0.268977254
0.868527842,0.255461689
0.873417083,0.251817054
0.87830926,0.253078487
0.883195189,0.243901477
0.888083273,0.23832573
0.892023935,0.228592473
0.894296729,0.218295144
0.899186657,0.215798738
0.904082645,0.223427622
0.908974729,0.224532478
0.913865094,0.222766763
0.917592527,0.209678471
0.919671613,0.198246918
0.92229196,0.186090869
0.924952279,0.173178106
0.927571799,0.159638964
0.930273433,0.148213752
0.934714,0.137887711
0.937373087,0.122917705
0.940613953,0.11413004
0.94537149,0.113324421
0.950258825,0.10649606
0.95514944,0.105147883
0.960037024,0.09873706
0.96492236,0.088568398
0.969814412,0.089621063
0.974707713,0.092761416
0.979592861,0.0822796
0.984477696,0.071275862
0.989362251,0.059802395
0.994250304,0.054174455
0.99891204,0.041896827
