CMOSIS CMV4000,
0.401190449,0.343654467
0.400416683,0.326266993
0.402682378,0.359828028
0.405044569,0.406019741
0.403690716,0.372890935
0.404363227,0.382077968
0.409793545,0.415673416
0.412618653,0.430433234
0.414676629,0.443016416
0.418415375,0.457082566
0.423164671,0.467272081
0.425815998,0.480609059
0.426764303,0.496558374
0.427619842,0.512300203
0.429536287,0.525747489
0.430690722,0.535257243
0.432754856,0.51685453
0.433784375,0.503396608
0.433779487,0.495231425
0.440064013,0.519642593
0.442250825,0.532851153
0.44403773,0.546561341
0.446021916,0.559681824
0.447857547,0.572251847
0.450509275,0.586258626
0.455183785,0.595322395
0.460078711,0.601176743
0.464522175,0.59569298
0.466737995,0.583072852
0.470802068,0.572361918
0.472522778,0.589774898
0.47386675,0.606394726
0.476985209,0.615977611
0.48187395,0.6114979
0.485816795,0.605411575
0.487199029,0.593091125
0.488970157,0.580443312
0.491897986,0.568707964
0.495502879,0.573766666
0.497424245,0.589245686
0.499064649,0.605834153
0.500775012,0.615485539
0.507227465,0.623286854
0.511009214,0.626651369
0.514112834,0.61144295
0.520157023,0.622928764
0.522749769,0.636815216
0.525507607,0.642369955
0.527684354,0.626380711
0.5287139,0.612968353
0.531030862,0.604233244
0.534852962,0.610154419
0.53759984,0.625110935
0.540326448,0.636272796
0.544719895,0.628184242
0.54992325,0.635002694
0.553651893,0.623934241
0.554136293,0.616012345
0.558692007,0.598046382
0.563240184,0.596062359
0.568039834,0.614182586
0.572186945,0.610763047
0.572360588,0.60370176
0.57520032,0.586613948
0.577011931,0.574061272
0.579598816,0.562282935
0.584345753,0.568530198
0.589021272,0.579279775
0.59124949,0.587373578
0.596154913,0.610764512
0.60082468,0.611905502
0.601485725,0.601936252
0.605785489,0.579247374
0.607911579,0.565300243
0.610931247,0.558416322
0.614804835,0.566633134
0.616367453,0.577084823
0.61997294,0.604361728
0.624611092,0.605747965
0.626437593,0.592747582
0.628508204,0.565467863
0.63047844,0.547778273
0.633357762,0.531892959
0.638351758,0.531821669
0.643249934,0.543104008
0.648139955,0.540764178
0.653027227,0.533831433
0.657194597,0.539841047
0.66148524,0.54919118
0.66533266,0.538452332
0.666807307,0.525751585
0.668478224,0.510772962
0.670346992,0.496160352
0.672521489,0.482039769
0.675473019,0.475381892
0.679718767,0.48476674
0.68195903,0.497975396
0.686370275,0.521208862
0.69103725,0.517683868
0.694143774,0.507326716
0.69613308,0.487730697
0.697904221,0.475103388
0.699675814,0.463232451
0.701644823,0.450997354
0.703465143,0.437987391
0.706458338,0.428149927
0.711215916,0.427412157
0.716109374,0.430813472
0.72099549,0.421949615
0.725885262,0.419192248
0.730777345,0.420297104
0.735668585,0.419992771
0.739890379,0.415622766
0.742105481,0.401804972
0.744098083,0.387714071
0.74606618,0.373954837
0.747886041,0.360179388
0.750669528,0.346676786
0.755629984,0.338191456
0.760521973,0.339139737
0.765195533,0.346616862
0.76987068,0.356745352
0.773421303,0.345426056
0.775597162,0.333582359
0.777853243,0.320689744
0.780069231,0.308350294
0.783619524,0.296480742
0.786374198,0.28200984
0.788979155,0.268261903
0.791598862,0.255035914
0.794838221,0.243731714
0.799594065,0.240097277
0.804489241,0.246369163
0.809384417,0.252641049
0.814270689,0.244038153
0.819160711,0.241698324
0.824054075,0.244943062
0.828944971,0.244064614
0.83383268,0.23786256
0.837381678,0.223829268
0.839557506,0.211933379
0.841813757,0.199322602
0.844070019,0.186732702
0.847135229,0.174890609
0.852025407,0.17281174
0.856921114,0.179970894
0.861814665,0.183528785
0.866708873,0.188182713
0.871598519,0.185216576
0.876484667,0.176404912
0.881369815,0.165923096
0.886257368,0.159460081
0.89045301,0.152671068
0.892273712,0.140299009
0.895057724,0.127673526
0.900018931,0.120445159
0.904906735,0.114399682
0.9097966,0.111798892
0.914685715,0.107945488
0.91738585,0.09401505
0.920586043,0.084814123
0.925344486,0.085522078
0.93023707,0.08746201
0.935124435,0.080685842
0.940012988,0.075892978
0.944903728,0.07475357
0.949794718,0.074031699
0.954682678,0.068247183
0.959571168,0.063349935
0.964234281,0.053373983
0.968895883,0.040871927
0.973783186,0.033991375
0.978673614,0.032330044
0.98356501,0.032286672
0.988451782,0.024518852
0.993340116,0.019360643
0.998228076,0.013576127
1.000894315,0.010553789
