Kodak KAI2093 with Cover Glass and Microlenses,
0.301754386,0.005302171
0.30877193,0.006463683
0.313157895,0.012348826
0.318421053,0.02648647
0.320175439,0.035326376
0.327631579,0.106651874
0.336842105,0.192123883
0.339473684,0.218060629
0.345175439,0.236324523
0.35,0.254590633
0.357017544,0.265775731
0.368421053,0.279897858
0.376754386,0.295796611
0.386842105,0.31581829
0.395175439,0.337023647
0.406578947,0.354093887
0.418859649,0.36408644
0.43245614,0.375254912
0.443859649,0.388197794
0.455263158,0.403499167
0.469736842,0.408179573
0.487280702,0.409904109
0.505263158,0.403372819
0.519298246,0.386238296
0.532894737,0.37087375
0.548684211,0.34842819
0.562280702,0.332474021
0.577631579,0.320053155
0.59122807,0.30291974
0.603947368,0.285788543
0.61622807,0.271016944
0.630701754,0.255650181
0.642982456,0.242057827
0.655263158,0.234951323
0.667105263,0.2219497
0.679824561,0.213662842
0.694298246,0.194758343
0.70877193,0.180570826
0.723245614,0.165204063
0.743421053,0.146874778
0.761403509,0.125602922
0.782894737,0.107270313
0.803070175,0.089530652
0.821491228,0.075922782
0.84254386,0.059949771
0.862719298,0.047516713
0.881578947,0.038035094
0.903508772,0.027956093
0.923245614,0.02142037
0.946929825,0.014874672
0.967982456,0.010694114
0.984649123,0.00652464
1,0.002948113
