e2v L3Vision CCD65 No Antiblooming,
0.40055,0.006803
0.41596,0.014739
0.43083,0.033206
0.44349,0.058371
0.4545,0.080939
0.46771,0.11215
0.47927,0.14356
0.48752,0.16908
0.49468,0.1928
0.50018,0.20702
0.50789,0.22936
0.5145,0.25025
0.5211,0.26407
0.52826,0.27984
0.53596,0.29361
0.54697,0.30887
0.55523,0.319
0.56128,0.32891
0.56844,0.34035
0.5745,0.35574
0.58,0.37233
0.58826,0.39258
0.59596,0.40922
0.60312,0.42131
0.61193,0.42415
0.62128,0.42653
0.62734,0.43328
0.6345,0.4402
0.64385,0.44438
0.65376,0.44182
0.66312,0.43661
0.67358,0.43084
0.68404,0.42624
0.69394,0.42703
0.6989,0.4318
0.70495,0.44162
0.70881,0.45075
0.71266,0.46266
0.71651,0.47063
0.72202,0.47647
0.72917,0.47553
0.73853,0.46674
0.74624,0.45371
0.75339,0.43945
0.76055,0.42457
0.76881,0.40937
0.77596,0.3977
0.78532,0.38689
0.79578,0.37752
0.80679,0.3673
0.8167,0.35701
0.82771,0.34567
0.83761,0.33427
0.84862,0.3219
0.85743,0.31145
0.86569,0.30139
0.8756,0.2902
0.8833,0.27996
0.88881,0.27133
0.89486,0.25883
0.90037,0.2459
0.90532,0.23251
0.91028,0.22152
0.91688,0.20878
0.92459,0.19599
0.93174,0.18498
0.93835,0.17424
0.94606,0.1613
0.95101,0.15043
0.95541,0.13761
0.96037,0.12555
0.96532,0.1115
0.96972,0.10116
0.97633,0.090009
0.98294,0.081781
0.99009,0.072245
0.99835,0.063459
1.0066,0.055494
1.016,0.048278
1.0253,0.040529
1.0336,0.033614
1.0413,0.028132
1.0495,0.02142
